drug,extracted_class
baclo,gamma-aminobutyric acid-ergic agonist
baclofen,gamma-aminobutyric acid-ergic agonist
baclof,gamma-aminobutyric acid-ergic agonist
lioresal,gamma-aminobutyric acid-ergic agonist
ketamine,general anesthetic
ketamine oral solution,general anesthetic
inv-isoflurane,general anesthetic
ketamine (for intubation),general anesthetic
ketam,general anesthetic
ketamine ,general anesthetic
ketamin,general anesthetic
ket,general anesthetic
etomidate,general anesthetic
propofol intradermal ,general anesthetic
propofol,general anesthetic
nateglinide,glinide
repaglinide,glinide
victoza,glp-1 receptor agonist
inv-exenatide 0.25mg/ml or placeb,glp-1 receptor agonist
liragl,glp-1 receptor agonist
victoza 3-pak,glp-1 receptor agonist
victoz,glp-1 receptor agonist
victoza 2-pak,glp-1 receptor agonist
liraglutide,glp-1 receptor agonist
vancomycin ,glycopeptide antibacterial
vancomycin desensitization,glycopeptide antibacterial
vancomycin oral capsule,glycopeptide antibacterial
vancomycin capsule,glycopeptide antibacterial
vancomycin ora,glycopeptide antibacterial
vancomycin oral liquid,glycopeptide antibacterial
vancocin,glycopeptide antibacterial
vancomycin-heparin lock,glycopeptide antibacterial
vancomycin antibiotic lock,glycopeptide antibacterial
vancomycin enema,glycopeptide antibacterial
vancomycin 14mg/ml ophth soln,glycopeptide antibacterial
vancomycin 25mg/ml ear drops,glycopeptide antibacterial
vancomycin intraventricular,glycopeptide antibacterial
vancomycin,glycopeptide antibacterial
vancomycin 25mg/ml ophth soln,glycopeptide antibacterial
vancomycin (bulk),glycopeptide antibacterial
vancomycin intrathecal,glycopeptide antibacterial
vancomycin 50mg/ml ophth soln,glycopeptide antibacterial
linaclotide,guanylate cyclase-c agonist
linzess 145mcg,guanylate cyclase-c agonist
linzess,guanylate cyclase-c agonist
plerixafor,hematopoietic stem cell mobilizer
protamine sulfate,heparin reversal agent
epivir,hepatitis b virus nucleoside analog reverse transcriptase inhibitor
lamiv,hepatitis b virus nucleoside analog reverse transcriptase inhibitor
lamivudine,hepatitis b virus nucleoside analog reverse transcriptase inhibitor
hepsera,hepatitis b virus nucleoside analog reverse transcriptase inhibitor
lamivudine-zidovudine (combivir),hepatitis b virus nucleoside analog reverse transcriptase inhibitor
entecavir,hepatitis b virus nucleoside analog reverse transcriptase inhibitor
lamivudine oral soln.,hepatitis b virus nucleoside analog reverse transcriptase inhibitor
lami,hepatitis b virus nucleoside analog reverse transcriptase inhibitor
lamivud,hepatitis b virus nucleoside analog reverse transcriptase inhibitor
adefovir,hepatitis b virus nucleoside analog reverse transcriptase inhibitor
lam,hepatitis b virus nucleoside analog reverse transcriptase inhibitor
entecavir oral solution,hepatitis b virus nucleoside analog reverse transcriptase inhibitor
epclusa,hepatitis c virus ns5a inhibitor
ledipasvir-sofosbuvir,hepatitis c virus ns5a inhibitor
mavyret,hepatitis c virus ns5a inhibitor
harvoni,hepatitis c virus ns5a inhibitor
ledipasvir/sofosbuvir,hepatitis c virus ns5a inhibitor
sofosbuvir-velpatasvir,hepatitis c virus nucleotide analog ns5b polymerase inhibitor
sovaldi,hepatitis c virus nucleotide analog ns5b polymerase inhibitor
sofosbuvir,hepatitis c virus nucleotide analog ns5b polymerase inhibitor
trastuzumab-anns (kanjinti),her2/neu receptor antagonist
pertuzumab,her2/neu receptor antagonist
trastuzumab,her2/neu receptor antagonist
zovirax,herpes simplex virus nucleoside analog dna polymerase inhibitor
acyclovir sodium,herpes simplex virus nucleoside analog dna polymerase inhibitor
valacy,herpes simplex virus nucleoside analog dna polymerase inhibitor
valtrex,herpes simplex virus nucleoside analog dna polymerase inhibitor
acyclovir suspension,herpes simplex virus nucleoside analog dna polymerase inhibitor
valacyclovir,herpes simplex virus nucleoside analog dna polymerase inhibitor
acyclovir ointment 5%,herpes simplex virus nucleoside analog dna polymerase inhibitor
acyclovir,herpes simplex virus nucleoside analog dna polymerase inhibitor
famciclovir,herpesvirus nucleoside analog dna polymerase inhibitor
benadryl allergy,histamine-1 receptor antagonist
diphenhydramine hcl,histamine-1 receptor antagonist
benadryl,histamine-1 receptor antagonist
diphenhydramine,histamine-1 receptor antagonist
diphenhist,histamine-1 receptor antagonist
diphenhyd,histamine-1 receptor antagonist
famot,histamine-2 receptor antagonist
famotidine (po),histamine-2 receptor antagonist
ranitidine,histamine-2 receptor antagonist
famotidine (iv),histamine-2 receptor antagonist
ranitidine (liquid),histamine-2 receptor antagonist
famotidine-ca carb-mag hydrox,histamine-2 receptor antagonist
famotidine (self med),histamine-2 receptor antagonist
cimetidine,histamine-2 receptor antagonist
famotidine,histamine-2 receptor antagonist
ranitidine hcl,histamine-2 receptor antagonist
inv-vorinostat,histone deacetylase inhibitor
panobinostat *nf*,histone deacetylase inhibitor
belinostat *nf*,histone deacetylase inhibitor
rosuvastatin,hmg-coa reductase inhibitor
pravastatin,hmg-coa reductase inhibitor
lipitor,hmg-coa reductase inhibitor
crestor,hmg-coa reductase inhibitor
rosuvastatin calcium,hmg-coa reductase inhibitor
simvastatin,hmg-coa reductase inhibitor
atorvastatin,hmg-coa reductase inhibitor
rosuvastati,hmg-coa reductase inhibitor
cinryze,human c1 esterase inhibitor
sustiva,human immunodeficiency virus 1 non-nucleoside analog reverse transcriptase inhibitor
efavirenz oral soln,human immunodeficiency virus 1 non-nucleoside analog reverse transcriptase inhibitor
rilpivirine hcl,human immunodeficiency virus 1 non-nucleoside analog reverse transcriptase inhibitor
efavirenz,human immunodeficiency virus 1 non-nucleoside analog reverse transcriptase inhibitor
rilpivirine,human immunodeficiency virus 1 non-nucleoside analog reverse transcriptase inhibitor
*nf* rilpivirine,human immunodeficiency virus 1 non-nucleoside analog reverse transcriptase inhibitor
doravirine,human immunodeficiency virus 1 non-nucleoside analog reverse transcriptase inhibitor
atripla,human immunodeficiency virus 1 non-nucleoside analog reverse transcriptase inhibitor
efav,human immunodeficiency virus 1 non-nucleoside analog reverse transcriptase inhibitor
edurant,human immunodeficiency virus 1 non-nucleoside analog reverse transcriptase inhibitor
etravirine 100mg tablet,human immunodeficiency virus 1 non-nucleoside analog reverse transcriptase inhibitor
viramune,human immunodeficiency virus 1 non-nucleoside analog reverse transcriptase inhibitor
nevirapine,human immunodeficiency virus 1 non-nucleoside analog reverse transcriptase inhibitor
etravirine,human immunodeficiency virus 1 non-nucleoside analog reverse transcriptase inhibitor
pifeltro,human immunodeficiency virus 1 non-nucleoside analog reverse transcriptase inhibitor
intelence,human immunodeficiency virus 1 non-nucleoside analog reverse transcriptase inhibitor
genvoya,human immunodeficiency virus integrase strand transfer inhibitor
elviteg-cob-emtri-tenof alafen,human immunodeficiency virus integrase strand transfer inhibitor
dolutegravir,human immunodeficiency virus integrase strand transfer inhibitor
tivicay,human immunodeficiency virus integrase strand transfer inhibitor
stribild,human immunodeficiency virus integrase strand transfer inhibitor
raltegravir,human immunodeficiency virus integrase strand transfer inhibitor
isentress,human immunodeficiency virus integrase strand transfer inhibitor
elvitegr-cobicist-emtric-tenof,human immunodeficiency virus integrase strand transfer inhibitor
raltegravir 400mg tablet,human immunodeficiency virus integrase strand transfer inhibitor
emtricitabine oral solution,human immunodeficiency virus nucleoside analog reverse transcriptase inhibitor
vemlidy  (tenofovir alafenamide),human immunodeficiency virus nucleoside analog reverse transcriptase inhibitor
bictegrav-emtricit-tenofov ala,human immunodeficiency virus nucleoside analog reverse transcriptase inhibitor
emtricitabine-tenofovir (tdf),human immunodeficiency virus nucleoside analog reverse transcriptase inhibitor
emt,human immunodeficiency virus nucleoside analog reverse transcriptase inhibitor
tenofovi,human immunodeficiency virus nucleoside analog reverse transcriptase inhibitor
tenofovir,human immunodeficiency virus nucleoside analog reverse transcriptase inhibitor
emtricitabine/tenofovir disoproxil (truvada),human immunodeficiency virus nucleoside analog reverse transcriptase inhibitor
biktarvy,human immunodeficiency virus nucleoside analog reverse transcriptase inhibitor
vemlidy,human immunodeficiency virus nucleoside analog reverse transcriptase inhibitor
emtri,human immunodeficiency virus nucleoside analog reverse transcriptase inhibitor
zidovudine,human immunodeficiency virus nucleoside analog reverse transcriptase inhibitor
tenofovir alafenamide fumarate,human immunodeficiency virus nucleoside analog reverse transcriptase inhibitor
emtricitabine-tenofovir alafen (200mg-25mg),human immunodeficiency virus nucleoside analog reverse transcriptase inhibitor
truvada,human immunodeficiency virus nucleoside analog reverse transcriptase inhibitor
abacav,human immunodeficiency virus nucleoside analog reverse transcriptase inhibitor
tenofovir disoproxil,human immunodeficiency virus nucleoside analog reverse transcriptase inhibitor
emtricitabine-tenofovir alafen (200mg-25mg) *descovy*,human immunodeficiency virus nucleoside analog reverse transcriptase inhibitor
abacavir,human immunodeficiency virus nucleoside analog reverse transcriptase inhibitor
abacavir ,human immunodeficiency virus nucleoside analog reverse transcriptase inhibitor
tenofovir disoproxil (viread),human immunodeficiency virus nucleoside analog reverse transcriptase inhibitor
trizivir,human immunodeficiency virus nucleoside analog reverse transcriptase inhibitor
emtricitabine-tenofovir,human immunodeficiency virus nucleoside analog reverse transcriptase inhibitor
emtricitabine-tenofovir alafen (descovy),human immunodeficiency virus nucleoside analog reverse transcriptase inhibitor
emtricitabine-tenofovir (truvada),human immunodeficiency virus nucleoside analog reverse transcriptase inhibitor
emtrici,human immunodeficiency virus nucleoside analog reverse transcriptase inhibitor
emtricitabine-tenofovir alafen,human immunodeficiency virus nucleoside analog reverse transcriptase inhibitor
abacavir sulfate,human immunodeficiency virus nucleoside analog reverse transcriptase inhibitor
abacavir oral solution,human immunodeficiency virus nucleoside analog reverse transcriptase inhibitor
descovy,human immunodeficiency virus nucleoside analog reverse transcriptase inhibitor
tenofov,human immunodeficiency virus nucleoside analog reverse transcriptase inhibitor
tenofovir disoproxil (viread) powder,human immunodeficiency virus nucleoside analog reverse transcriptase inhibitor
tenofovir alafenamide,human immunodeficiency virus nucleoside analog reverse transcriptase inhibitor
tenofovir disoproxil fumarate,human immunodeficiency virus nucleoside analog reverse transcriptase inhibitor
tenofovir disoproxil fum.,human immunodeficiency virus nucleoside analog reverse transcriptase inhibitor
emtricitabine,human immunodeficiency virus nucleoside analog reverse transcriptase inhibitor
hepatitis b immun globulin (hepagam b),human immunoglobulin
hepatitis b immune globulin (nabi-hb),human immunoglobulin
hepatitis b immu glob (hepagam b),human immunoglobulin
immune globulin (human) (igg),human immunoglobulin g
gam,human immunoglobulin g
flebogamma,human immunoglobulin g
gamunex-c 10%,human immunoglobulin g
immune globulin 20% (hizentra),human immunoglobulin g
gammagard liquid (white bag),human immunoglobulin g
gamunex/gammaked 10%,human immunoglobulin g
immune globulin intravenous (human),human immunoglobulin g
cytomegalovirus immune glob,human immunoglobulin g
gamunex/gammaked,human immunoglobulin g
privigen,human immunoglobulin g
gammagard liquid,human immunoglobulin g
becaplermin gel 0.01%,human platelet-derived growth factor
albumin 5% (12.5g / 250ml),human serum albumin
albumin 25%,human serum albumin
albumin 25% (12.5g / 50ml),human serum albumin
albumi,human serum albumin
albumin 5,human serum albumin
albumin 25% ,human serum albumin
albumin 5% (25g / 500ml),human serum albumin
albumin 25,human serum albumin
albumin ,human serum albumin
album,human serum albumin
albumin 5% (,human serum albumin
albumin 5% ),human serum albumin
albumin,human serum albumin
"albumin, human",human serum albumin
"albumin, human 25 %",human serum albumin
albu,human serum albumin
albumin 5% ,human serum albumin
al,human serum albumin
alb,human serum albumin
albumin 25% (25g /100ml),human serum albumin
albumin 5%,human serum albumin
idarucizumab,humanized monoclonal antibody fragment
imiglucerase,hydrolytic lysosomal glucocerebroside-specific enzyme
ivabradine,hyperpolarization-activated cyclic nucleotide-gated channel blocker
corlanor,hyperpolarization-activated cyclic nucleotide-gated channel blocker
anti-thymocyte globulin (rabbit),immunoglobulin g
atgam,immunoglobulin g
atg (horse) desensitization ,immunoglobulin g
atg (horse),immunoglobulin g
tetanus-diphtox-acellular pertuss (tdap),inactivated clostridium tetani vaccine
tetanus-diphtox-acellular pertuss (adacel),inactivated clostridium tetani vaccine
tetanus-diphtheria tox (tenivac),inactivated clostridium tetani vaccine
tetanus-diphtheria tox (decavac),inactivated clostridium tetani vaccine
hepatitis a vaccine,inactivated hepatitis a virus vaccine
twinrix (pf),inactivated hepatitis a virus vaccine
heplisav-b (pf),inactivated hepatitis b virus vaccine
"meningococcal conj vaccine (menactra,menveo)",inactivated meningococcal vaccine
meningococcal conj vaccine (menactra),inactivated meningococcal vaccine
"meningococ vac a,c,y,w135 (pf)",inactivated meningococcal vaccine
pneumoc 13-val conj-dip cr(pf),inactivated pneumococcal vaccine
pneumococca,inactivated pneumococcal vaccine
pneumococcal 13-valent conjugate vaccine,inactivated pneumococcal vaccine
prev,inactivated pneumococcal vaccine
pneumococcal 23-valent polysaccharide vaccine,inactivated pneumococcal vaccine
prevnar 13 (pf),inactivated pneumococcal vaccine
pneumococcal vac polyvalent,inactivated pneumococcal vaccine
pneumococcal 20-valent conjugate vaccine,inactivated pneumococcal vaccine
pneumococcal ,inactivated pneumococcal vaccine
polio vaccine,inactivated poliovirus vaccine
amantadine,influenza a m2 protein inhibitor
rimantadine,influenza a m2 protein inhibitor
humulin-r insulin (u-500),insulin
insulin regular human (u-500),insulin
insulin human regular,insulin
insu500i,insulin
tresiba u-100 insulin,insulin analog
insulin glargine,insulin analog
tresiba flextouch u-100,insulin analog
levemir u-100 insulin,insulin analog
novolog mix 70-30 flexpen,insulin analog
levemir flexpen,insulin analog
insulin detemir *nf*,insulin analog
gla,insulin analog
tresiba flextouch u-200,insulin analog
fiasp flextouch u-100 insulin,insulin analog
novolog flexpen u-100 insulin,insulin analog
novolog mix 70-30,insulin analog
apidra,insulin analog
lantus,insulin analog
insulin degludec,insulin analog
lantus solostar,insulin analog
humalog insulin,insulin analog
humalog,insulin analog
insulin (regular) for hyperkalemia,insulin analog
leve100i,insulin analog
insulin pump (self administering medication),insulin analog
insul,insulin analog
insulin glargine  (cvicu protocol),insulin analog
insulin lispro,insulin analog
novolog u-100 insulin aspart,insulin analog
insulin aspart *nf* (for insulin pump),insulin analog
insulin lispro 75/25,insulin analog
insulin aspart,insulin analog
insulin aspart u-100,insulin analog
ins,insulin analog
humalog kwikpen,insulin analog
apidra solostar,insulin analog
humalog mix 75-25,insulin analog
insuli,insulin analog
levemir flextouch,insulin analog
novolog mix 70-30 u-100 insuln,insulin analog
insulin detemir,insulin analog
tresiba,insulin analog
lantus u-100 insulin,insulin analog
insulin aspart ,insulin analog
levemir,insulin analog
aspart insulin desensitization,insulin analog
toujeo solostar,insulin analog
novolog,insulin analog
insulin,insulin analog
insulin lispro (for insulin pump),insulin analog
glul100i,insulin analog
humalog u-100 insulin,insulin analog
insulin aspart (niacinamide),insulin analog
insulin aspart *nf*,insulin analog
humalog mix 75-25 kwikpen,insulin analog
insulin lispro protam-lispro,insulin analog
novolog flexpen,insulin analog
insulin lispro desensitization protocol,insulin analog
inv-vedolizumab,integrin receptor antagonist
natalizumab,integrin receptor antagonist
vedolizumab,integrin receptor antagonist
peginterferon ,interferon alpha
peginterferon alfa-2a,interferon alpha
peginterferon alf,interferon alpha
anakinra,interleukin-1 receptor antagonist
anakinra *nf*,interleukin-1 receptor antagonist
kineret,interleukin-1 receptor antagonist
basiliximab,interleukin-2 receptor blocking antibody
ustekinumab,interleukin-23 antagonist
dupilumab,interleukin-4 receptor alpha antagonist
dupixent,interleukin-4 receptor alpha antagonist
inv-sarilumab,interleukin-6 receptor antagonist
tocilizumab,interleukin-6 receptor antagonist
*nf* deferasirox,iron chelator
deferoxamine (dfo),iron chelator
deferasirox,iron chelator
exjade,iron chelator
deferoxamine mesylate,iron chelator
enasidenib,isocitrate dehydrogenase 2 inhibitor
enasidenib *nf*,isocitrate dehydrogenase 2 inhibitor
baricitinib (eua),janus kinase inhibitor
tofacitinib,janus kinase inhibitor
baricitinib,janus kinase inhibitor
xeljanz,janus kinase inhibitor
inv-axitinib,kinase inhibitor
inv-erlotinib,kinase inhibitor
inv,kinase inhibitor
ofev,kinase inhibitor
acalabrutinib,kinase inhibitor
jakafi (ruxolitinib),kinase inhibitor
tasigna,kinase inhibitor
das,kinase inhibitor
nilotinib *nf* ,kinase inhibitor
tarceva,kinase inhibitor
palbociclib,kinase inhibitor
axitinib *nf*,kinase inhibitor
inv-palbociclib ,kinase inhibitor
nilotinib *nf*,kinase inhibitor
inv-gefitinib,kinase inhibitor
nilotinib,kinase inhibitor
idelalisib,kinase inhibitor
sorafenib,kinase inhibitor
*nf* erlotinib 150mg tab,kinase inhibitor
erlotinib (tarceva),kinase inhibitor
dasa,kinase inhibitor
acalabrutinib *nf*,kinase inhibitor
ru,kinase inhibitor
ruxolitinib (crushed tab),kinase inhibitor
gefitinib,kinase inhibitor
*nf* nilotinib,kinase inhibitor
inv-palbociclib 125 mg po daily on days 1-21,kinase inhibitor
dabrafenib,kinase inhibitor
ruxolinitib 5mg ,kinase inhibitor
erlotinib,kinase inhibitor
ibrutinib,kinase inhibitor
cabozantinib,kinase inhibitor
cabozantinib (cabometyx),kinase inhibitor
imatinib mesylate,kinase inhibitor
dasatinib,kinase inhibitor
midostaurin *nf*,kinase inhibitor
sprycel,kinase inhibitor
*nf* dasatinib,kinase inhibitor
trametinib,kinase inhibitor
capmatinib,kinase inhibitor
*nf* imatinib mesylate,kinase inhibitor
*nf* erlotinib,kinase inhibitor
dabrafenib *nf*,kinase inhibitor
trametinib *nf*,kinase inhibitor
everolimus,kinase inhibitor
*nf* sunitinib,kinase inhibitor
sunitinib,kinase inhibitor
imatinib,kinase inhibitor
jakafi,kinase inhibitor
ruxolitinib,kinase inhibitor
ruxolitinib ,kinase inhibitor
midostaurin,kinase inhibitor
*nf* sorafenib,kinase inhibitor
gleevec,kinase inhibitor
inv-ruxolitinib,kinase inhibitor
axitinib,kinase inhibitor
levothyroxine,l-thyroxine
levothyroxine (bulk),l-thyroxine
levothyroxine sodium (synthroid),l-thyroxine
levothroid,l-thyroxine
levothyroxine sodium,l-thyroxine
levoth,l-thyroxine
levothyroxine 88 mcg,l-thyroxine
levothyroxine 176 mcg,l-thyroxine
levo,l-thyroxine
levothy,l-thyroxine
levothyro,l-thyroxine
levothyrox,l-thyroxine
levothyr,l-thyroxine
levothyroxine sodium 112 mcg,l-thyroxine
synt,l-thyroxine
levot,l-thyroxine
levoxyl,l-thyroxine
synthroid,l-thyroxine
tirosint(levothyroxine) 75mcg,l-thyroxine
synth,l-thyroxine
levothyroxine sodium 112mcg ,l-thyroxine
liothyronine sodium,l-triiodothyronine
liothyronine,l-triiodothyronine
cytomel,l-triiodothyronine
fil,leukocyte growth factor
filgrastim,leukocyte growth factor
neupogen,leukocyte growth factor
pegfilgrastim-cbqv,leukocyte growth factor
filgrastim (neupogen),leukocyte growth factor
peg,leukocyte growth factor
*nf* pegfilgrastim,leukocyte growth factor
ziextenzo,leukocyte growth factor
filgrastim-sndz,leukocyte growth factor
neulasta,leukocyte growth factor
pegfilgrastim,leukocyte growth factor
montelukast 10 mg ,leukotriene receptor antagonist
zafirlukast,leukotriene receptor antagonist
montelukast,leukotriene receptor antagonist
clindamycin suspension,lincosamide antibacterial
clindamycin 1% solution,lincosamide antibacterial
clinda,lincosamide antibacterial
clindamycin solution,lincosamide antibacterial
clindamycin hcl,lincosamide antibacterial
clindamycin phosphate,lincosamide antibacterial
clindamycin,lincosamide antibacterial
fat emulsion 20% (intralipid),lipid emulsion
fat emulsion 10%,lipid emulsion
fat emulsion 20%,lipid emulsion
smoflipid 20% emulsion,lipid emulsion
ambisome,lipid-based polyene antifungal
amphotericin b,lipid-based polyene antifungal
amphotericin b nebulized,lipid-based polyene antifungal
amphotericin b oral suspension,lipid-based polyene antifungal
amphotericin b deoxycholate,lipid-based polyene antifungal
dalbavancin,lipoglycopeptide antibacterial
daptomycin,lipopeptide antibacterial
daptomycin desensitization,lipopeptide antibacterial
"measles, mumps & rubella vac",live attenuated measles virus vaccine
varicella ,live attenuated varicella zoster virus vaccine
varicella virus,live attenuated varicella zoster virus vaccine
varicella virus vacc live (pf),live attenuated varicella zoster virus vaccine
varicella virus vaccine,live attenuated varicella zoster virus vaccine
proparacaine hcl 0.5% opth.,local anesthetic
bumet,loop diuretic
furosemide solution,loop diuretic
torsemide ,loop diuretic
ethacrynic acid,loop diuretic
bumetan,loop diuretic
bumex,loop diuretic
bumetanid,loop diuretic
furose,loop diuretic
furosemide ,loop diuretic
bumeta,loop diuretic
furosemid,loop diuretic
lasix,loop diuretic
furo,loop diuretic
bumetanide,loop diuretic
furosemide in 0.9% sodium chloride,loop diuretic
furosemide,loop diuretic
bume,loop diuretic
bumetanide desensitization,loop diuretic
torsemide,loop diuretic
furosemide rapid oral densitization ,loop diuretic
furosemide-heart failure,loop diuretic
ethacrynate sodium,loop diuretic
furosemide desensitization,loop diuretic
bum,loop diuretic
furos,loop diuretic
furosemide (latex free),loop diuretic
gabapentin,loop diuretic
gabapentin (liquid),loop diuretic
lovenox,low molecular weight heparin
enoxaparin (prophylaxis),low molecular weight heparin
inv enoxaparin,low molecular weight heparin
enoxaparin,low molecular weight heparin
enoxapar,low molecular weight heparin
enox,low molecular weight heparin
enoxaparin ,low molecular weight heparin
enoxapari,low molecular weight heparin
enoxaprin,low molecular weight heparin
enoxaparin sodium,low molecular weight heparin
enoxaparin (treatment),low molecular weight heparin
enoxa,low molecular weight heparin
inv-enoxaparin,low molecular weight heparin
enoxapa,low molecular weight heparin
enoxap,low molecular weight heparin
aldesleukin,lymphocyte growth factor
erythromycin ,macrolide
erythromycin ethylsuccinate suspension,macrolide
ery-tab,macrolide
erythromycin,macrolide
erythromycin ethylsuccinate,macrolide
erythromycin 0.5% ophth oint,macrolide
fidaxomicin,macrolide antibacterial
azithro,macrolide antimicrobial
azasite,macrolide antimicrobial
clarithromycin,macrolide antimicrobial
azithromyci,macrolide antimicrobial
azithromycin ,macrolide antimicrobial
azithr,macrolide antimicrobial
azithromy,macrolide antimicrobial
azithromycin,macrolide antimicrobial
azithromyc,macrolide antimicrobial
cromolyn,mast cell stabilizer
cromolyn (bulk),mast cell stabilizer
gastrocrom,mast cell stabilizer
ramelteon,melatonin receptor agonist
rozerem,melatonin receptor agonist
sulfamylon,methylated sulfonamide antibacterial
mafenide acetate,methylated sulfonamide antibacterial
theophylline sr,methylxanthine
theophyllin,methylxanthine
theophylline er (uniphyl),methylxanthine
aminophylline,methylxanthine
theophylline er,methylxanthine
theophylline,methylxanthine
paclitaxel (taxol),microtubule inhibitor
paclitaxel desensitization ,microtubule inhibitor
paclitaxel-protein bound (abraxane),microtubule inhibitor
docetaxel (taxotere),microtubule inhibitor
eribulin,microtubule inhibitor
selegiline,monoamine oxidase inhibitor
*nf* rasagiline,monoamine oxidase inhibitor
phenelzine sulfate,monoamine oxidase inhibitor
azilect,monoamine oxidase inhibitor
selegiline hcl,monoamine oxidase inhibitor
rasagiline,monoamine oxidase inhibitor
emsam,monoamine oxidase inhibitor
tranylcypromine sulfate,monoamine oxidase inhibitor
aztreonam,monobactam antibacterial
aztreonam  desensitization ,monobactam antibacterial
lamictal,mood stabilizer
tegretol,mood stabilizer
carbamazepine suspension,mood stabilizer
lithium carbonate (oral soln),mood stabilizer
lithium oral solution,mood stabilizer
lamotr,mood stabilizer
carbamaze,mood stabilizer
carbamazepine,mood stabilizer
carbamazepine xr,mood stabilizer
lithium carbonate cr (eskalith),mood stabilizer
lithium carbonate sr (lithobid),mood stabilizer
tegretol xr,mood stabilizer
lamotrigine xr (lamictal brand) *nf*,mood stabilizer
lithium carbonate,mood stabilizer
carbamazep,mood stabilizer
lamotrig,mood stabilizer
lamictal xr,mood stabilizer
carbatrol,mood stabilizer
carbamazepine (extended-release),mood stabilizer
lithobid,mood stabilizer
carbamazepin,mood stabilizer
lithium citrate,mood stabilizer
lamotrigine (lamictal brand) *nf*,mood stabilizer
lithium,mood stabilizer
lamotrigine,mood stabilizer
lithium carbo,mood stabilizer
carbam,mood stabilizer
lamo,mood stabilizer
lithium carbona,mood stabilizer
carb,mood stabilizer
carbamazepine chewable tabs,mood stabilizer
lamotrigine rectal susp,mood stabilizer
lithium carbonat,mood stabilizer
lithium carbonate ,mood stabilizer
lamictal xr 200mg tab,mood stabilizer
lithium ,mood stabilizer
lithiu,mood stabilizer
lithium citrate (syrup),mood stabilizer
lithi,mood stabilizer
lamot,mood stabilizer
lamictal (lamotrigine),mood stabilizer
rapamune,mtor inhibitor immunosuppressant
sirolimus,mtor inhibitor immunosuppressant
cyclobe,muscle relaxant
robaxin-750,muscle relaxant
cyclobenzaprine,muscle relaxant
methocarbamol,muscle relaxant
orphenadrine citrate,muscle relaxant
namenda,n-methyl-d-aspartate receptor antagonist
namenda titration pak,n-methyl-d-aspartate receptor antagonist
memantine,n-methyl-d-aspartate receptor antagonist
memant,n-methyl-d-aspartate receptor antagonist
sacubitril,neprilysin inhibitor
inv-lcz696,neprilysin inhibitor
sacubitril-valsartan (97mg-103mg),neprilysin inhibitor
sacubitril/valsartan(lcz696),neprilysin inhibitor
sacubitril/valsartan (lcz6969),neprilysin inhibitor
sacubitril-valsartan (24mg-26mg),neprilysin inhibitor
entresto,neprilysin inhibitor
sacubitril-valsartan,neprilysin inhibitor
sacubitril-valsartan (49mg-51mg),neprilysin inhibitor
sacubitril-valsartan ,neprilysin inhibitor
oseltam,neuraminidase inhibitor
oseltamivir suspension,neuraminidase inhibitor
oseltamivir phosphate,neuraminidase inhibitor
oselt,neuraminidase inhibitor
oseltamivir,neuraminidase inhibitor
zanamivir,neuraminidase inhibitor
tamiflu,neuraminidase inhibitor
imdur,nitrate vasodilator
nitro-bid,nitrate vasodilator
isosorbide dinitra,nitrate vasodilator
isosorbide dini,nitrate vasodilator
isosorbide dinitrate,nitrate vasodilator
nitroglycerin sl,nitrate vasodilator
nitro,nitrate vasodilator
isordil,nitrate vasodilator
isosor,nitrate vasodilator
isordil titradose,nitrate vasodilator
nitroglycerin ointment  2%,nitrate vasodilator
isosorbide dinitrate sa,nitrate vasodilator
isosorbide dinitrat,nitrate vasodilator
isosorbid,nitrate vasodilator
isosorbide mononitra,nitrate vasodilator
nitroglyceri,nitrate vasodilator
isos,nitrate vasodilator
isosorbide mononitrate,nitrate vasodilator
isosorbide ,nitrate vasodilator
iso,nitrate vasodilator
isosorbide dinitrate er,nitrate vasodilator
isosorbi,nitrate vasodilator
nitroglycerin,nitrate vasodilator
isosorbide mononitrate (extended release),nitrate vasodilator
ismo,nitrate vasodilator
isosorbide mo,nitrate vasodilator
isoso,nitrate vasodilator
isosorbide mononitrate ,nitrate vasodilator
nitroglycerin patch,nitrate vasodilator
imd,nitrate vasodilator
nitroglycerin ointment ,nitrate vasodilator
isosorb,nitrate vasodilator
isosorbide mon,nitrate vasodilator
isosorbide dinitr,nitrate vasodilator
isosorbide mono,nitrate vasodilator
nitro-dur,nitrate vasodilator
isosorbide mononi,nitrate vasodilator
isosorbide,nitrate vasodilator
nitroglycerin ointment 0.2%,nitrate vasodilator
nitrofurantoin ,nitrofuran antibacterial
nitrofurantoin monohyd (macrobid),nitrofuran antibacterial
nitro,nitrofuran antibacterial
nitrofurantoin (macrodantin),nitrofuran antibacterial
nitrofurantoin macrocrystal,nitrofuran antibacterial
nitrofurantoin,nitrofuran antibacterial
metronidazole desensitization,nitroimidazole antimicrobial
metro,nitroimidazole antimicrobial
metronidazole topical 1 % gel,nitroimidazole antimicrobial
tinidazole,nitroimidazole antimicrobial
metrogel,nitroimidazole antimicrobial
metronidazole (flagyl),nitroimidazole antimicrobial
metronidazole gel 0.75%-vaginal,nitroimidazole antimicrobial
metronidazole,nitroimidazole antimicrobial
benzo,non-narcotic antitussive
benzon,non-narcotic antitussive
benz,non-narcotic antitussive
benzonatate,non-narcotic antitussive
benzona,non-narcotic antitussive
ben,non-narcotic antitussive
fycompa,noncompetitive ampa glutamate receptor antagonist
